Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 2 G;-0.07396378;-0.299672;-1.332532;0;181.4977;0
Cube 3 G;0.3710243;-0.1390721;-1.178109;0;181.4977;0
Cube 4 G;0.06015545;0.1461279;-1.008326;0;181.4977;0
Cube 1 P;0.6467506;-0.305872;-1.429401;0;181.4977;0
Cube 2 P;-0.07926048;-0.267972;-1.202249;0;91.49766;0
Cube 3 P;0.3659194;-0.04187202;-1.185878;0;181.4977;0
Cube 4 P;0.05226274;0.254128;-1.004119;0;91.49766;0
World;0.1090586;-0.707872;-1.372329;0;181.4977;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2375903;-0.9026956;-0.649578;0;181.4908;0
Cube 2 G;-0.3641761;-0.8424956;-0.5558908;0;181.4908;0
Cube 3 G;0.08079335;-0.6818956;-0.4014148;0;181.4908;0
Cube 4 G;-0.2300958;-0.3966956;-0.2316692;0;181.4908;0
Cube 1 P;0.35655;-0.8486956;-0.652674;0;181.4908;0
Cube 2 P;-0.3694885;-0.8107955;-0.4256084;0;91.49078;0
Cube 3 P;0.07568949;-0.5846956;-0.4091846;0;181.4908;0
Cube 4 P;-0.2379891;-0.2886956;-0.2274625;0;91.49078;0
World;-0.1811489;-1.250696;-0.5956659;0;181.4908;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2452849;-0.8788466;-0.598641;0;181.5824;0
Cube 2 G;-0.3563309;-0.8186466;-0.5039914;0;181.5824;0
Cube 3 G;0.08888519;-0.6580466;-0.3502273;0;181.5824;0
Cube 4 G;-0.2217322;-0.3728466;-0.1799847;0;181.5824;0
Cube 1 P;0.3642395;-0.8248466;-0.6019272;0;181.5824;0
Cube 2 P;-0.3614349;-0.7869465;-0.3737007;0;91.58243;0
Cube 3 P;0.08376884;-0.5608466;-0.357989;0;181.5824;0
Cube 4 P;-0.2296186;-0.2648466;-0.1757653;0;91.58243;0
World;-0.1733676;-1.226847;-0.5440592;0;181.5824;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2283044;-0.9153481;-0.7107851;0;180.2236;0
Cube 2 G;-0.3753864;-0.8551481;-0.630428;0;180.2236;0
Cube 3 G;0.06605816;-0.6945481;-0.4661499;0;180.2236;0
Cube 4 G;-0.2485087;-0.4093481;-0.3033208;0;180.2236;0
Cube 1 P;0.3473037;-0.8613481;-0.7112496;0;180.2236;0
Cube 2 P;-0.3835785;-0.8234481;-0.500295;0;90.22365;0
Cube 3 P;0.06112736;-0.5973481;-0.4740307;0;180.2236;0
Cube 4 P;-0.256493;-0.3013481;-0.2992896;0;90.22365;0
World;-0.1915245;-1.263348;-0.666146;0;180.2236;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2354157;-0.921218;-0.7013167;0;180.5438;0
Cube 2 G;-0.3678168;-0.8610179;-0.6175881;0;180.5438;0
Cube 3 G;0.07453871;-0.700418;-0.4557788;0;180.5438;0
Cube 4 G;-0.2391135;-0.415218;-0.2911948;0;180.5438;0
Cube 1 P;0.3544104;-0.867218;-0.702446;0;180.5438;0
Cube 2 P;-0.3752818;-0.8293179;-0.4874114;0;90.54375;0
Cube 3 P;0.06956396;-0.603218;-0.463632;0;180.5438;0
Cube 4 P;-0.2470752;-0.307218;-0.2871191;0;90.54375;0
World;-0.1841573;-1.269218;-0.6543327;0;180.5438;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2338886;-0.9149492;-0.7047108;0;180.0799;0
Cube 2 G;-0.370002;-0.8547492;-0.6258687;0;180.0799;0
Cube 3 G;0.07102901;-0.6941493;-0.4604835;0;180.0799;0
Cube 4 G;-0.2439454;-0.4089493;-0.2984442;0;180.0799;0
Cube 1 P;0.3528886;-0.8609492;-0.7048768;0;180.0799;0
Cube 2 P;-0.3785206;-0.8230492;-0.4957567;0;90.0799;0
Cube 3 P;0.066118;-0.5969492;-0.4683766;0;180.0799;0
Cube 4 P;-0.2519398;-0.3009492;-0.294433;0;90.0799;0
World;-0.186051;-1.262949;-0.6611252;0;180.0799;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2593355;-0.8905429;-0.6583161;0;182.2157;0
Cube 2 G;-0.3411974;-0.8385429;-0.5570233;0;182.2157;0
Cube 3 G;0.1056908;-0.6774429;-0.4081891;0;182.2157;0
Cube 4 G;-0.2030261;-0.3815429;-0.234524;0;182.2157;0
Cube 1 P;0.3782466;-0.8365429;-0.6629167;0;182.2157;0
Cube 2 P;-0.3448611;-0.7986429;-0.4266842;0;92.21565;0
Cube 3 P;0.1004891;-0.5802429;-0.4158937;0;182.2157;0
Cube 4 P;-0.2108654;-0.2765429;-0.2302177;0;92.21565;0
World;-0.158688;-1.238543;-0.5991107;0;182.2157;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.682417;-0.117349;-0.7514361;0;180.0747;0
Cube 2 G;0.07851905;-0.06534898;-0.6726491;0;180.0747;0
Cube 3 G;0.5195351;0.09575102;-0.5072236;0;180.0747;0
Cube 4 G;0.2045458;0.391651;-0.345213;0;180.0747;0
Cube 1 P;0.801417;-0.06334898;-0.7515911;0;180.0747;0
Cube 2 P;0.06998859;-0.02544898;-0.5425379;0;90.07466;0
Cube 3 P;0.5146247;0.1929511;-0.5151172;0;180.0747;0
Cube 4 P;0.196551;0.496651;-0.3412026;0;90.07466;0
World;0.2624733;-0.465349;-0.7078888;0;180.0747;0
Cube 1 G;0.2353276;-0.9070362;-0.6863253;0;180.7093;0
Cube 2 G;-0.3676606;-0.8550363;-0.6008544;0;180.7093;0
Cube 3 G;0.0751605;-0.6939362;-0.4403237;0;180.7093;0
Cube 4 G;-0.238015;-0.3980362;-0.2748343;0;180.7093;0
Cube 1 P;0.3543185;-0.8530362;-0.6877984;0;180.7093;0
Cube 2 P;-0.3747495;-0.8151362;-0.4706566;0;90.70927;0
Cube 3 P;0.07016313;-0.5967362;-0.4481624;0;180.7093;0
Cube 4 P;-0.2459648;-0.2930362;-0.2707356;0;90.70927;0
World;-0.184108;-1.255036;-0.6381294;0;180.7093;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0.2266504;-0.8757854;-0.6487289;0;180.8654;0
Cube 2 G;-0.3761026;-0.8237854;-0.5616148;0;180.8654;0
Cube 3 G;0.06715447;-0.6626854;-0.4022917;0;180.8654;0
Cube 4 G;-0.2455688;-0.3667854;-0.2359493;0;180.8654;0
Cube 1 P;0.3456369;-0.8217854;-0.6505263;0;180.8654;0
Cube 2 P;-0.3828365;-0.7838854;-0.4313982;0;90.86544;0
Cube 3 P;0.06213567;-0.5654854;-0.4101168;0;180.8654;0
Cube 4 P;-0.2535075;-0.2617854;-0.2318289;0;90.86544;0
World;-0.1926522;-1.223785;-0.59939;0;180.8654;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,3106656;1,461791;0,3491008;0;0;0
Cube 2 G;0,9146656;1,521991;0,2711008;0;0;0
Cube 3 G;0,4738656;1,682591;0,1051008;0;0;0
Cube 4 G;1,096666;1,967791;0,06610081;0;0;0
Cube 1 P;0,1916655;1,515791;0,3491008;0;0;0
Cube 2 P;0,9233656;1,553691;0,1410008;0;270;0
Cube 3 P;0,4787656;1,779791;0,1130008;0;0;0
Cube 4 P;1,104666;2,075791;0,06210081;0;270;0
World;0,7306656;1,113791;0,3061008;0;0;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;-0,6683592;0,3484474;-0,1431928;0;0;0
Cube 2 G;-0,06435923;0,4086474;-0,2211927;0;0;0
Cube 3 G;-0,5051593;0,5692474;-0,3871928;0;0;0
Cube 4 G;0,1176408;0,8544474;-0,4261928;0;0;0
Cube 1 P;-0,7873592;0,4024475;-0,1431928;0;0;0
Cube 2 P;-0,05565923;0,4403475;-0,3512928;0;270;0
Cube 3 P;-0,5002592;0,6664475;-0,3792928;0;0;0
Cube 4 P;0,1256408;0,9624475;-0,4301928;0;270;0
World;-0,2483592;0,0004474521;-0,1861928;0;0;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;-0,9715326;0,4097393;-0,2650504;0;0;0
Cube 2 G;-0,3675326;0,4699393;-0,3430504;0;0;0
Cube 3 G;-0,8083326;0,6305393;-0,5090504;0;0;0
Cube 4 G;-0,1855325;0,9157393;-0,5480504;0;0;0
Cube 1 P;-1,090533;0,4637393;-0,2650504;0;0;0
Cube 2 P;-0,3588326;0,5016394;-0,4731504;0;270;0
Cube 3 P;-0,8034326;0,7277393;-0,5011504;0;0;0
Cube 4 P;-0,1775326;1,023739;-0,5520504;0;270;0
World;-0,5515326;0,06173933;-0,3080504;0;0;0
Cube 1 G;-1,793607;0,4034644;-2,271077;0;0;0
Cube 2 G;-1,189607;0,4636644;-2,349077;0;0;0
Cube 3 G;-1,630407;0,6242644;-2,515077;0;0;0
Cube 4 G;-1,007607;0,9094644;-2,554077;0;0;0
Cube 1 P;-1,912607;0,4574644;-2,271077;0;0;0
Cube 2 P;-1,180907;0,4953644;-2,479177;0;270;0
Cube 3 P;-1,625507;0,7214644;-2,507177;0;0;0
Cube 4 P;-0,9996067;1,017464;-2,558077;0;270;0
World;-1,373607;0,05546439;-2,314077;0;0;0
Cube 1 G;-0,5866144;0,3984323;-0,5494112;0;0;0
Cube 2 G;0,01738563;0,4586323;-0,6274111;0;0;0
Cube 3 G;-0,4234143;0,6192323;-0,7934111;0;0;0
Cube 4 G;0,1993857;0,9044323;-0,8324112;0;0;0
Cube 1 P;-0,7056144;0,4524323;-0,5494112;0;0;0
Cube 2 P;0,02608563;0,4903323;-0,7575111;0;270;0
Cube 3 P;-0,4185144;0,7164323;-0,7855111;0;0;0
Cube 4 P;0,2073856;1,012432;-0,8364112;0;270;0
World;-0,1666144;0,05043232;-0,5924112;0;0;0
Cube 1 G;-0,201056;0,3909903;0,8332663;0;0;0
Cube 2 G;0,402944;0,4511903;0,7552663;0;0;0
Cube 3 G;-0,03785604;0,6117903;0,5892663;0;0;0
Cube 4 G;0,584944;0,8969903;0,5502663;0;0;0
Cube 1 P;-0,3200561;0,4449903;0,8332663;0;0;0
Cube 2 P;0,411644;0,4828903;0,6251663;0;270;0
Cube 3 P;-0,03295603;0,7089903;0,5971663;0;0;0
Cube 4 P;0,592944;1,00499;0,5462663;0;270;0
World;0,218944;0,04299033;0,7902663;0;0;0
Cube 1 G;-0,229307;0,3934537;0,8512319;0;0;0
Cube 2 G;0,3746929;0,4536537;0,773232;0;0;0
Cube 3 G;-0,06610705;0,6142536;0,607232;0;0;0
Cube 4 G;0,556693;0,8994536;0,5682319;0;0;0
Cube 1 P;-0,3483071;0,4474537;0,8512319;0;0;0
Cube 2 P;0,3833929;0,4853537;0,643132;0;270;0
Cube 3 P;-0,06120704;0,7114537;0,615132;0;0;0
Cube 4 P;0,564693;1,007454;0,5642319;0;270;0
World;0,1906929;0,04545367;0,8082319;0;0;0
Cube 1 G;-0,2292571;0,3932585;0,8508932;0;0;0
Cube 2 G;0,3747429;0,4534585;0,7728932;0;0;0
Cube 3 G;-0,06605709;0,6140585;0,6068932;0;0;0
Cube 4 G;0,5567429;0,8992585;0,5678932;0;0;0
Cube 1 P;-0,3482571;0,4472585;0,8508932;0;0;0
Cube 2 P;0,3834429;0,4851585;0,6427932;0;270;0
Cube 3 P;-0,06115708;0,7112585;0,6147932;0;0;0
Cube 4 P;0,5647429;1,007259;0,5638932;0;270;0
World;0,1907429;0,04525852;0,8078932;0;0;0
Cube 1 G;-0,2296342;0,392844;0,8506626;0;0;0
Cube 2 G;0,3743658;0,453044;0,7726626;0;0;0
Cube 3 G;-0,06643417;0,6136439;0,6066626;0;0;0
Cube 4 G;0,5563658;0,8988439;0,5676626;0;0;0
Cube 1 P;-0,3486342;0,446844;0,8506626;0;0;0
Cube 2 P;0,3830658;0,484744;0,6425626;0;270;0
Cube 3 P;-0,06153417;0,710844;0,6145626;0;0;0
Cube 4 P;0,5643659;1,006844;0,5636626;0;270;0
World;0,1903658;0,04484397;0,8076626;0;0;0
Cube 1 G;-0,2295531;0,3930616;0,8509445;0;0;0
Cube 2 G;0,3744468;0,4532616;0,7729446;0;0;0
Cube 3 G;-0,06635316;0,6138616;0,6069446;0;0;0
Cube 4 G;0,5564469;0,8990616;0,5679445;0;0;0
Cube 1 P;-0,3485532;0,4470616;0,8509445;0;0;0
Cube 2 P;0,3831468;0,4849616;0,6428446;0;270;0
Cube 3 P;-0,06145315;0,7110616;0,6148446;0;0;0
Cube 4 P;0,5644469;1,007062;0,5639445;0;270;0
World;0,1904468;0,04506159;0,8079445;0;0;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;-0,2314166;0,3993022;0,8469218;0;0;0
Cube 2 G;0,3725834;0,4595022;0,7689219;0;0;0
Cube 3 G;-0,06821659;0,6201022;0,6029218;0;0;0
Cube 4 G;0,5545834;0,9053022;0,5639218;0;0;0
Cube 1 P;-0,3504166;0,4533023;0,8469218;0;0;0
Cube 2 P;0,3812834;0,4912023;0,6388218;0;270;0
Cube 3 P;-0,06331658;0,7173023;0,6108218;0;0;0
Cube 4 P;0,5625834;1,013302;0,5599218;0;270;0
World;0,1885834;0,05130225;0,8039218;0;0;0
Cube 1 G;0,4036051;0,8397549;-0,2418664;0;179,4573;0
Cube 2 G;-0,2011067;0,8999549;-0,1695913;0;179,4573;0
Cube 3 G;0,2381012;1,060555;0,0005767494;0;179,4573;0
Cube 4 G;-0,3850404;1,345755;0,0336756;0;179,4573;0
Cube 1 P;0,5225998;0,893755;-0,2407392;0;179,4573;0
Cube 2 P;-0,2110386;0,9316549;-0,03957948;0;89,45727;0
Cube 3 P;0,2332762;1,157755;-0,00736931;0;179,4573;0
Cube 4 P;-0,3930779;1,453755;0,03759962;0;89,45727;0
World;-0,01678339;0,4917549;-0,2028468;0;179,4573;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,4330116;0,858793;-0,239281;0;179,0486;0
Cube 2 G;-0,1722003;0,918993;-0,171321;0;179,0486;0
Cube 3 G;0,2657825;1,079593;0,001975521;0;179,0486;0
Cube 4 G;-0,3575792;1,364793;0,03062868;0;179,0486;0
Cube 1 P;0,5519953;0,912793;-0,237305;0;179,0486;0
Cube 2 P;-0,1830594;0,950693;-0,04138337;0;89,04857;0
Cube 3 P;0,2610144;1,176793;-0,006004766;0;179,0486;0
Cube 4 P;-0,3656445;1,472793;0,03449529;0;89,04857;0
World;0,01235551;0,510793;-0,2032609;0;179,0486;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,4327174;0,8583613;-0,2395309;0;178,9208;0
Cube 2 G;-0,1726445;0,9185613;-0,1729205;0;178,9208;0
Cube 3 G;0,2649508;1,079161;0,001352146;0;178,9208;0
Cube 4 G;-0,3584732;1,364361;0,02861536;0;178,9208;0
Cube 1 P;0,5516963;0,9123613;-0,2372896;0;178,9208;0
Cube 2 P;-0,1837933;0,9502614;-0,04300743;0;88,92083;0
Cube 3 P;0,2602005;1,176361;-0,00663875;0;178,9208;0
Cube 4 P;-0,3665471;1,472361;0,03246397;0;88,92083;0
World;0,01198205;0,5103613;-0,2044488;0;178,9208;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,4326618;0,858459;-0,2395127;0;178,919;0
Cube 2 G;-0,1727023;0,918659;-0,1729215;0;178,919;0
Cube 3 G;0,2648876;1,079259;0,001364991;0;178,919;0
Cube 4 G;-0,3585375;1,364459;0,02860846;0;178,919;0
Cube 1 P;0,5516406;0,912459;-0,2372677;0;178,919;0
Cube 2 P;-0,1838552;0,950359;-0,04300877;0;88,91901;0
Cube 3 P;0,2601374;1,176459;-0,006626025;0;178,919;0
Cube 4 P;-0,3666115;1,472459;0,03245682;0;88,91901;0
World;0,01192525;0,510459;-0,204444;0;178,919;0
Cube 1 G;0,432655;0,8584322;-0,2394951;0;178,9126;0
Cube 2 G;-0,1727166;0,9186323;-0,1729718;0;178,9126;0
Cube 3 G;0,2648537;1,079232;0,001363784;0;178,9126;0
Cube 4 G;-0,3585743;1,364432;0,02853735;0;178,9126;0
Cube 1 P;0,5516335;0,9124323;-0,2372368;0;178,9126;0
Cube 2 P;-0,183884;0,9503323;-0,04306029;0;88,91258;0
Cube 3 P;0,2601045;1,176432;-0,006627783;0;178,9126;0
Cube 4 P;-0,3666488;1,472432;0,03238481;0;88,91258;0
World;0,01191451;0,5104322;-0,2044736;0;178,9126;0
Cube 1 G;0,432643;0,8584599;-0,2395163;0;178,9148;0
Cube 2 G;-0,172726;0,9186599;-0,17297;0;178,9148;0
Cube 3 G;0,2648509;1,07926;0,001348957;0;178,9148;0
Cube 4 G;-0,3585761;1,36446;0,02854615;0;178,9148;0
Cube 1 P;0,5516217;0,9124599;-0,2372625;0;178,9148;0
Cube 2 P;-0,1838886;0,9503599;-0,04305811;0;88,91476;0
Cube 3 P;0,2601014;1,17646;-0,006642461;0;178,9148;0
Cube 4 P;-0,3666504;1,47246;0,0323939;0;88,91476;0
World;0,01190388;0,5104599;-0,2044788;0;178,9148;0
Cube 1 G;0,4326369;0,8584653;-0,2395268;0;178,9165;0
Cube 2 G;-0,1727301;0,9186653;-0,1729627;0;178,9165;0
Cube 3 G;0,264852;1,079265;0,001343355;0;178,9165;0
Cube 4 G;-0,3585742;1,364465;0,028559;0;178,9165;0
Cube 1 P;0,5516156;0,9124653;-0,2372765;0;178,9165;0
Cube 2 P;-0,1838887;0,9503653;-0,04305045;0;88,91645;0
Cube 3 P;0,2601022;1,176465;-0,0066479;0;178,9165;0
Cube 4 P;-0,3666484;1,472465;0,03240699;0;88,91645;0
World;0,01189891;0,5104653;-0,2044769;0;178,9165;0
Cube 1 G;0,4006903;0,8428547;-0,2351482;0;179,3046;0
Cube 2 G;-0,2042118;0,9030547;-0,1644842;0;179,3046;0
Cube 3 G;0,2345411;1,063655;0,006853223;0;179,3046;0
Cube 4 G;-0,3886864;1,348855;0,03829187;0;179,3046;0
Cube 1 P;0,5196816;0,8968548;-0,2337039;0;179,3046;0
Cube 2 P;-0,2144901;0,9347547;-0,03449939;0;89,30462;0
Cube 3 P;0,2297374;1,160855;-0,001105651;0;179,3046;0
Cube 4 P;-0,3967343;1,456855;0,04219447;0;89,30462;0
World;-0,01980057;0,4948547;-0,1972486;0;179,3046;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,4070502;0,8681602;-0,2050884;0;179,2287;0
Cube 2 G;-0,1979451;0,9283602;-0,1352266;0;179,2287;0
Cube 3 G;0,2405803;1,08896;0,03669249;0;179,2287;0
Cube 4 G;-0,3826884;1,37416;0,06730478;0;179,2287;0
Cube 1 P;0,5260394;0,9221602;-0,2034864;0;179,2287;0
Cube 2 P;-0,2083957;0,9600602;-0,005255461;0;89,22865;0
Cube 3 P;0,235787;1,18616;0,02872723;0;179,2287;0
Cube 4 P;-0,3907415;1,48216;0,07119672;0;89,22865;0
World;-0,01349062;0,5201602;-0,1677464;0;179,2287;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,4012729;0,8634402;-0,2267587;0;181,7902;0
Cube 2 G;-0,1999957;0,9236403;-0,1299284;0;181,7902;0
Cube 3 G;0,2457749;1,08424;0,02222046;0;181,7902;0
Cube 4 G;-0,06356099;1,36944;0,1699559;0;181,7902;0
Cube 1 P;0,5202149;0,9174402;-0,2304761;0;181,7902;0
Cube 2 P;-0,2046272;0,9553403;0,0003799498;0;91,79015;0
Cube 3 P;0,2406304;1,18144;0,01447742;0;181,7902;0
Cube 4 P;-0,07143211;1,47744;0,1742039;0;91,79015;0
World;-0,01717885;0,5154402;-0,1706592;0;181,7902;0
Cube 1 G;0,4013129;0,8631592;-0,2268894;0;181,7675;0
Cube 2 G;-0,199994;0,9233593;-0,1302969;0;181,7675;0
Cube 3 G;0,2457165;1,083959;0,02202825;0;181,7675;0
Cube 4 G;-0,06367788;1,369159;0,1696414;0;181,7675;0
Cube 1 P;0,5202563;0,9171593;-0,2305598;0;181,7675;0
Cube 2 P;-0,2046771;0,9550593;9,581447E-06;0;91,7675;0
Cube 3 P;0,2405751;1,181159;0,01428315;0;181,7675;0
Cube 4 P;-0,07155068;1,477159;0,1738862;0;91,7675;0
World;-0,01716101;0,5151592;-0,1709555;0;181,7675;0
Cube 1 G;0,4011112;0,8569242;-0,2302264;0;179,1695;0
Cube 2 G;-0,203956;0,9171243;-0,1609896;0;179,1695;0
Cube 3 G;0,2343916;1,077724;0,01138245;0;179,1695;0
Cube 4 G;-0,08137581;1,362924;0,1448194;0;179,1695;0
Cube 1 P;0,5200988;0,9109243;-0,2285015;0;179,1695;0
Cube 2 P;-0,2145409;0,9488243;-0,03102928;0;89,16946;0
Cube 3 P;0,2296066;1,174924;0,003412247;0;179,1695;0
Cube 4 P;-0,08943292;1,470924;0,148703;0;89,16946;0
World;-0,01946798;0,5089242;-0,1933188;0;179,1695;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,3999577;0,8606417;-0,2230611;0;179,2841;0
Cube 2 G;-0,2049699;0,9208417;-0,1526144;0;179,2841;0
Cube 3 G;0,2337215;1,081442;0,01888062;0;179,2841;0
Cube 4 G;-0,08177835;1,366642;0,1529488;0;179,2841;0
Cube 1 P;0,5189484;0,9146417;-0,2215742;0;179,2841;0
Cube 2 P;-0,2152948;0,9525417;-0,02263322;0;89,28406;0
Cube 3 P;0,2289207;1,178642;0,01092002;0;179,2841;0
Cube 4 P;-0,08982769;1,474642;0,1568485;0;89,28406;0
World;-0,02054687;0,5126417;-0,1853125;0;179,2841;0
Cube 1 G;0,4022934;0,8477138;-0,2423608;0;179,2553;0
Cube 2 G;-0,2026694;0,9079138;-0,1722177;0;179,2553;0
Cube 3 G;0,2359359;1,068514;-0,0005025268;0;179,2553;0
Cube 4 G;-0,07963121;1,353714;0,1334073;0;179,2553;0
Cube 1 P;0,5212834;0,9017138;-0,2408141;0;179,2553;0
Cube 2 P;-0,2130595;0,9396138;-0,04224175;0;89,2553;0
Cube 3 P;0,231139;1,165714;-0,008465558;0;179,2553;0
Cube 4 P;-0,08768251;1,461714;0,137303;0;89,2553;0
World;-0,01822998;0,4997138;-0,2048233;0;179,2553;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,3964601;0,8529698;-0,2431154;0;178,8006;0
Cube 2 G;-0,2090402;0,9131697;-0,177775;0;178,8006;0
Cube 3 G;0,2281886;1,07377;-0,00258483;0;178,8006;0
Cube 4 G;-0,08843118;1,35897;0,1288167;0;178,8006;0
Cube 1 P;0,515434;0,9069698;-0,2406245;0;178,8006;0
Cube 2 P;-0,2204615;0,9448698;-0,04788558;0;88,80064;0
Cube 3 P;0,223455;1,17097;-0,01058567;0;178,8006;0
Cube 4 P;-0,09651313;1,46697;0,1326483;0;88,80064;0
World;-0,02434796;0,5049698;-0,2089159;0;178,8006;0
Name;RX;RY;RZ;RorX;RorY;RorZ
Cube 1 G;0,3995167;0,8442582;-0,2453717;0;178,8133;0
Cube 2 G;-0,2059693;0,9044582;-0,1798979;0;178,8133;0
Cube 3 G;0,2312982;1,065058;-0,00480409;0;178,8133;0
Cube 4 G;-0,0852927;1,350258;0,1266672;0;178,8133;0
Cube 1 P;0,5184912;0,8982582;-0,2429071;0;178,8133;0
Cube 2 P;-0,217362;0,9361582;-0,05000599;0;88,81326;0
Cube 3 P;0,2265628;1,162258;-0,01280388;0;178,8133;0
Cube 4 P;-0,09337382;1,458258;0,1305007;0;88,81326;0
World;-0,02128388;0,4962582;-0,2110796;0;178,8133;0
